Article,Comment,Relevance
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Mein Lieblingsbuch ist „Der Schatten des Windes“ von Carlos Ruiz Zafón. Die Geschichte ist spannend, tiefgründig und poetisch geschrieben. Ich konnte es kaum aus der Hand legen und habe es mittlerweile schon zweimal gelesen.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Seit einiger Zeit versuche ich, meine Ernährung umzustellen. Ich esse nun deutlich mehr Gemüse, weniger Fleisch und achte darauf, ausreichend Wasser zu trinken. Das hat nicht nur meine Energie verbessert, sondern auch mein Hautbild.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Im Winter freue ich mich jedes Jahr auf das Schlittschuhlaufen. Die Bewegung an der frischen Luft und das Gefühl, über das Eis zu gleiten, machen mir unglaublich viel Spaß – vor allem mit Freunden oder meiner kleinen Nichte.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Ich interessiere mich sehr für klassische Musik. Besonders Werke von Beethoven und Schubert höre ich gerne, weil sie Emotionen so kraftvoll ausdrücken können. Ein Live-Konzert in der Philharmonie ist für mich immer ein besonderes Erlebnis.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Mein Traum ist es, eines Tages nach Japan zu reisen. Ich bin fasziniert von der Kultur, der Sprache, der Architektur und nicht zuletzt vom Essen. Besonders zur Kirschblütenzeit stelle ich mir das Land einfach wunderschön vor.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Ich arbeite in der IT-Branche und beschäftige mich viel mit künstlicher Intelligenz. Es ist spannend zu sehen, wie schnell sich die Technologie entwickelt und welchen Einfluss sie auf nahezu alle Lebensbereiche hat.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","In meinem Garten baue ich Tomaten, Paprika und Kräuter an. Es ist ein beruhigendes Hobby, das mir nicht nur frisches Gemüse bringt, sondern auch einen Ausgleich zum stressigen Alltag bietet.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Letzte Woche habe ich eine Serie über das Leben in Island gesehen. Die atemberaubende Landschaft, die Vulkane und die heißen Quellen haben mich tief beeindruckt. Ich würde sehr gerne einmal dorthin reisen.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Mein Lieblingsfilm ist „Forrest Gump“, weil er auf so einfache Weise tiefgründige Lebensweisheiten vermittelt. Die Geschichte zeigt, dass man mit Freundlichkeit und Ausdauer viel im Leben erreichen kann.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Ich habe mir vor Kurzem ein E-Bike gekauft und fahre nun regelmäßig damit zur Arbeit. Es ist umweltfreundlich, hält mich fit und ich umgehe den morgendlichen Stau – eine tolle Entscheidung!",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Als Kind habe ich oft mit meinem Großvater Schach gespielt. Er hat mir beigebracht, strategisch zu denken und Geduld zu haben. Diese Fähigkeiten helfen mir heute noch in vielen Bereichen meines Lebens.",0
"Die SPD hat auf ihrem Parteitag Ende Juni 2025 beschlossen, ein mögliches AfD-Verbotsverfahren juristisch prüfen zu lassen. Unterstützt wird sie dabei vom Künstlerkollektiv „Zentrum für Politische Schönheit“ (ZPS), das über 3.600 angebliche Beweise für verfassungsfeindliche Bestrebungen der AfD gesammelt hat. Diese Beweise bestehen überwiegend aus Zitaten von AfD-Mitgliedern, Reden und Beiträgen in sozialen Medien. Allerdings wird Kritik laut, da einige Quellen des ZPS fehlerhaft, nicht überprüfbar oder aus dem Kontext gerissen seien, was Zweifel an deren Belastbarkeit für ein Verbotsverfahren aufwirft. Das Bundesverfassungsgericht verlangt für ein Parteiverbot konkrete Nachweise für eine aktiv kämpferische Haltung gegen die demokratische Grundordnung, weshalb das Gutachten des Verfassungsschutzes allein nicht ausreicht. Eine Bund-Länder-Arbeitsgruppe soll belastbares Material zusammentragen. Der Verfassungsschutz stuft die AfD bundesweit als „gesichert rechtsextremistisch“ ein, doch einzelne Landesverbände bleiben bisher stärker im Fokus. Das ZPS versteht seine Sammlung als zivilgesellschaftlichen Beitrag für ein Verbot, wird jedoch wegen mangelnder Quellenangaben und möglicher Fehler kritisiert. Einige Beispiele zeigen, dass Zitate falsch zugeordnet oder historische Zusammenhänge missinterpretiert wurden, was die Glaubwürdigkeit der Beweislage beeinträchtigen könnte.","Ich bin ein großer Fan von historischen Romanen. Besonders Bücher über das Mittelalter oder die französische Revolution finde ich spannend, weil sie Geschichte lebendig machen und interessante Charaktere zeigen.",0
"Immer mehr Millionäre verlassen Europa, was laut dem „Henley Private Wealth Migration Report 2025“ zu erheblichen Kapitalabflüssen führt. Besonders betroffen ist Großbritannien, das 2025 mit einem Rekordverlust von 16.500 vermögenden Personen rechnet. Gründe dafür sind wirtschaftliche Unsicherheiten sowie verschärfte Steuerregeln, etwa die Abschaffung des Non-Dom-Status. Auch Deutschland zählt erstmals zu den Nettoverlierern und könnte 400 Millionäre verlieren, was einen Kapitalabfluss von rund zwei Milliarden Euro bedeutet. Insgesamt zeigen sich in Europa wachsende Zweifel an der Standortattraktivität. Gewinner der Entwicklung sind vor allem die Vereinigten Arabischen Emirate, die USA und Südeuropa, die zunehmend wohlhabende Zuwanderer anziehen. Experten warnen vor langfristigen Folgen für Europas wirtschaftliche Wettbewerbsfähigkeit.",In Deutschland gibt es laut dem 2024 World Wealth Report 1. 646 Einkommensmillionäre. Viele davon Milliardäre bzw. Multi-Milliadäre. https://www.ftd.de/vermoegen/wie-viele-millionaere-leben-in-deutschland/. Dabei sind die „richtig“ Reichen nicht einmal gelistet. Da Vermögende so gut wie keine Steuern zahlen hat die Steuerflucht aber vermutlich wenig Auswirkungen auf die deutsche Finanzlage!,1
"Immer mehr Millionäre verlassen Europa, was laut dem „Henley Private Wealth Migration Report 2025“ zu erheblichen Kapitalabflüssen führt. Besonders betroffen ist Großbritannien, das 2025 mit einem Rekordverlust von 16.500 vermögenden Personen rechnet. Gründe dafür sind wirtschaftliche Unsicherheiten sowie verschärfte Steuerregeln, etwa die Abschaffung des Non-Dom-Status. Auch Deutschland zählt erstmals zu den Nettoverlierern und könnte 400 Millionäre verlieren, was einen Kapitalabfluss von rund zwei Milliarden Euro bedeutet. Insgesamt zeigen sich in Europa wachsende Zweifel an der Standortattraktivität. Gewinner der Entwicklung sind vor allem die Vereinigten Arabischen Emirate, die USA und Südeuropa, die zunehmend wohlhabende Zuwanderer anziehen. Experten warnen vor langfristigen Folgen für Europas wirtschaftliche Wettbewerbsfähigkeit.","Es ist sehr sehr anstrengend diesen libertären gerarde zu Antiökonomischen Gedanken des Autors zu folgen. 1. Der Wohnsitz hat nichts mit dem Ort zutun an dem das Kapital ist. Es ist in der Regel virtuelles Börsenvermögen, von dem es 10 mal mehr gibt als reale Güter. Das Geld dafür sind übrigens die Staatsschulden, nicht vergessen wir haben ein Kreditgeldsystem. 2. Reiche Bürger die keine oder Prozentual sehr wenig Steuern zahlen bringen der Gesellschaft nichts, außer extrem überhöhte Immobilienpreise. 3. Die Leute werden ja trotz Steuerverweigerung Ehrenbürger. Wie Kühne oder Jacobs. Assoziales Verhalten das nicht sanktioniert wird setzt sich durch das ist nicht nur bei den Ärmsten so sondern auch bei den Reichsten.",1
"Immer mehr Millionäre verlassen Europa, was laut dem „Henley Private Wealth Migration Report 2025“ zu erheblichen Kapitalabflüssen führt. Besonders betroffen ist Großbritannien, das 2025 mit einem Rekordverlust von 16.500 vermögenden Personen rechnet. Gründe dafür sind wirtschaftliche Unsicherheiten sowie verschärfte Steuerregeln, etwa die Abschaffung des Non-Dom-Status. Auch Deutschland zählt erstmals zu den Nettoverlierern und könnte 400 Millionäre verlieren, was einen Kapitalabfluss von rund zwei Milliarden Euro bedeutet. Insgesamt zeigen sich in Europa wachsende Zweifel an der Standortattraktivität. Gewinner der Entwicklung sind vor allem die Vereinigten Arabischen Emirate, die USA und Südeuropa, die zunehmend wohlhabende Zuwanderer anziehen. Experten warnen vor langfristigen Folgen für Europas wirtschaftliche Wettbewerbsfähigkeit.","Ich höre mehr und mehr Menschen um mich rum, die die aktuelle Politik nicht mehr ertragen und auch keine Besserung mehr erwarten. Dieses verlogene Geschachere und die ewige Geschichte AFD verbieten ist einfach nur am Ziel vorbei. Die Leute erwarten einen Aufschwung, sie erwarten Ergebnisse, Entlastung, Sicherheit und wirkliche Demokratie. Sie möchten ohne Angst Bahn fahren und ins Schwimmbad gehen....Was wir aber sehen ist ein gegenseitiges Augen auskratzen für Macht und Geld und Ideologie. Viele denken darüber nach, Deutschland den Rücken zu kehren. Ich hab mich nie so unwohl gefühlt wie jetzt, nicht mal in der DDR.",1
"Immer mehr Millionäre verlassen Europa, was laut dem „Henley Private Wealth Migration Report 2025“ zu erheblichen Kapitalabflüssen führt. Besonders betroffen ist Großbritannien, das 2025 mit einem Rekordverlust von 16.500 vermögenden Personen rechnet. Gründe dafür sind wirtschaftliche Unsicherheiten sowie verschärfte Steuerregeln, etwa die Abschaffung des Non-Dom-Status. Auch Deutschland zählt erstmals zu den Nettoverlierern und könnte 400 Millionäre verlieren, was einen Kapitalabfluss von rund zwei Milliarden Euro bedeutet. Insgesamt zeigen sich in Europa wachsende Zweifel an der Standortattraktivität. Gewinner der Entwicklung sind vor allem die Vereinigten Arabischen Emirate, die USA und Südeuropa, die zunehmend wohlhabende Zuwanderer anziehen. Experten warnen vor langfristigen Folgen für Europas wirtschaftliche Wettbewerbsfähigkeit.","Wir brauchen keine Millionäre, wir lösen die Schuldenbremse",1
"Immer mehr Millionäre verlassen Europa, was laut dem „Henley Private Wealth Migration Report 2025“ zu erheblichen Kapitalabflüssen führt. Besonders betroffen ist Großbritannien, das 2025 mit einem Rekordverlust von 16.500 vermögenden Personen rechnet. Gründe dafür sind wirtschaftliche Unsicherheiten sowie verschärfte Steuerregeln, etwa die Abschaffung des Non-Dom-Status. Auch Deutschland zählt erstmals zu den Nettoverlierern und könnte 400 Millionäre verlieren, was einen Kapitalabfluss von rund zwei Milliarden Euro bedeutet. Insgesamt zeigen sich in Europa wachsende Zweifel an der Standortattraktivität. Gewinner der Entwicklung sind vor allem die Vereinigten Arabischen Emirate, die USA und Südeuropa, die zunehmend wohlhabende Zuwanderer anziehen. Experten warnen vor langfristigen Folgen für Europas wirtschaftliche Wettbewerbsfähigkeit.","Wer es sich familiär und finanziell leisten kann, sollte das Land so schnell als nur möglich verlassen. Denn schon jetzt gilt ""Der Islam ist der Chef"". Neben dieser kulturellen ""Bereicherung"" sollen die Bürger vollständig gläsern und weitestgehend enteignet werden. Waren es denn nicht die Linken, welche Reiche ""töten"" wollten? Man kann den Reichen dieses Landes nur alles Gute wünschen und dass Sie in einem anderen Land nicht derart gehasst werden wie es in Deutschland der Fall ist.",1
"Immer mehr Millionäre verlassen Europa, was laut dem „Henley Private Wealth Migration Report 2025“ zu erheblichen Kapitalabflüssen führt. Besonders betroffen ist Großbritannien, das 2025 mit einem Rekordverlust von 16.500 vermögenden Personen rechnet. Gründe dafür sind wirtschaftliche Unsicherheiten sowie verschärfte Steuerregeln, etwa die Abschaffung des Non-Dom-Status. Auch Deutschland zählt erstmals zu den Nettoverlierern und könnte 400 Millionäre verlieren, was einen Kapitalabfluss von rund zwei Milliarden Euro bedeutet. Insgesamt zeigen sich in Europa wachsende Zweifel an der Standortattraktivität. Gewinner der Entwicklung sind vor allem die Vereinigten Arabischen Emirate, die USA und Südeuropa, die zunehmend wohlhabende Zuwanderer anziehen. Experten warnen vor langfristigen Folgen für Europas wirtschaftliche Wettbewerbsfähigkeit.","Wär' ich Millionär, würd' ich auch gehen - weg aus einem gesellschaftlichen Klima, in dem die Empörung über jede NICHT-linke Meinung ungleich höher ist als über die Forderung, mich zu töten (und zuvor auch gerne zu foltern)!",1
"Immer mehr Millionäre verlassen Europa, was laut dem „Henley Private Wealth Migration Report 2025“ zu erheblichen Kapitalabflüssen führt. Besonders betroffen ist Großbritannien, das 2025 mit einem Rekordverlust von 16.500 vermögenden Personen rechnet. Gründe dafür sind wirtschaftliche Unsicherheiten sowie verschärfte Steuerregeln, etwa die Abschaffung des Non-Dom-Status. Auch Deutschland zählt erstmals zu den Nettoverlierern und könnte 400 Millionäre verlieren, was einen Kapitalabfluss von rund zwei Milliarden Euro bedeutet. Insgesamt zeigen sich in Europa wachsende Zweifel an der Standortattraktivität. Gewinner der Entwicklung sind vor allem die Vereinigten Arabischen Emirate, die USA und Südeuropa, die zunehmend wohlhabende Zuwanderer anziehen. Experten warnen vor langfristigen Folgen für Europas wirtschaftliche Wettbewerbsfähigkeit.","Absolut nachvollziehbar, als Millionär würde ich nicht lange fackeln und tschüss.",1
